a0001566,2001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,16.9,1.0,0.51,,107,2459000.5,59000,20200531.0000000,J2000,.8270213269059251,1.078168924000127,.1865002298448085,22.82211332714178,87.99754359357092,31.39334350716884,192.0831812938603,1.969837618155446,.8803874820999982,2459191.230584112357,20201207.7305841,408.9108572299187,1.1195369123338,.0342447,13.327009899,3.6371E-8,2.8179E-9,3.9169E-8,1.2622E-5,3.976E-6,6.8347E-6,6.4679E-6,5.1484E-9,3.4515E-9,8.0542E-6,1.6031E-6,APO,.33228
a0001620,2001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,15.3,2.56,0.290,0.15,"JPL 609",2459000.5,59000,20200531.0000000,J2000,.3354548020109591,1.245666863784177,.8278019326218434,13.3370434846758,337.1869752155534,276.956067645158,235.1126416339228,1.66353179494651,.7089264923814854,2459176.664044803214,20201123.1640448,507.8100534664147,1.39030815459662,.0303535,11.812671595,1.1323E-8,1.5884E-10,1.4171E-8,2.5705E-6,2.6329E-6,3.4911E-6,3.0666E-6,2.1212E-10,1.3559E-10,4.3566E-6,9.7128E-8,APO,.40639
a0001862,2001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,16.25,1.5,0.25,,"JPL 308",2459000.5,59000,20200531.0000000,J2000,.5599167398990702,1.470345437077941,.6470744134237867,6.35473160977809,35.62713125014458,285.9759580870181,88.54647870988587,2.293616460732095,.55280887491436,2458840.324426256537,20191222.8244263,651.2196463122456,1.78294222125187,.0258141,10.046073297,1.3185E-8,8.2996E-10,1.956E-8,3.3105E-6,2.3987E-5,2.4893E-5,3.4486E-6,1.2947E-9,4.6806E-10,6.1038E-6,5.5138E-7,APO,.48568
a0001981,2001981,"  1981 Midas (1973 EA)",1981,Midas,,Y,Y,15.2,3.4,,,"JPL 195",2459000.5,59000,20200531.0000000,J2000,.65035151771509,1.776503077052497,.621151604665878,39.82959060027727,356.8640430396759,267.8229779024979,312.7361104124565,2.931854549439116,.4162508446763338,2459114.046651477175,20200921.5466515,864.8631098392772,2.36786614603498,.00356774,1.3884573758,2.4107E-8,2.7739E-9,4.3207E-8,7.6677E-6,1.8593E-6,5.17E-6,1.5968E-6,4.5779E-9,9.7492E-10,3.9975E-6,2.0256E-6,APO,.39337
a0002101,2002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,18.8,0.6,,,"JPL 39",2459000.5,59000,20200531.0000000,J2000,.7639969230880802,1.874841299172494,.4424683153262496,1.322475968042881,349.4862729707103,43.60820334995537,336.1573218268102,3.307214283018738,.3839346478806828,2459062.600876554906,20200801.1008766,937.6595782308216,2.56717201432121,.0115889,4.510052213,6.7048E-8,1.4053E-9,1.2553E-7,9.6989E-6,.00042998,.00043046,1.1227E-5,2.4789E-9,4.3166E-10,2.9257E-5,1.0542E-6,APO,.7383
a0002102,2002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,,Y,Y,16.0,1.649,0.245,0.045,"JPL 195",2459000.5,59000,20200531.0000000,J2000,.2991482374371164,1.290150777373146,.9042044462938438,64.00699255328968,94.36249230602759,61.54106408142581,81.98646831159535,1.676097108452448,.6725791054966707,2458878.601374780217,20200130.1013748,535.253023856808,1.4654429126812,.0434654,16.915429718,2.7587E-8,1.0543E-9,3.5842E-8,1.1632E-5,1.6818E-6,1.012E-5,7.7989E-6,1.3697E-9,8.2447E-10,1.1583E-5,6.5613E-7,APO,.30566
a0002135,2002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,,Y,Y,17.94,,,,22,2459000.5,59000,20200531.0000000,J2000,.5030136617821045,1.599967126006199,.795161803222831,23.05815456689635,191.1800911267857,290.9094337662466,142.9273611413273,2.404772448789567,.4870095580172899,2458707.020418771220,20190811.5204188,739.2052046486102,2.02383355139934,.00987554,3.8432639018,1.3072E-6,8.2901E-8,2.0705E-6,5.3799E-5,.00035033,.00016065,.00073305,1.246E-7,3.7851E-8,.0014827,5.7452E-5,APO,.55762
a0002201,2002201,"  2201 Oljato (1947 XC)",2201,Oljato,,Y,Y,15.3,1.80,0.4328,0.1,211,2459000.5,59000,20200531.0000000,J2000,.7128855212674332,2.174083942076455,.6242109777501252,2.522429202495983,74.98703322352544,98.24724876350736,203.1157336122513,3.723956906402784,.3074606998599317,2459510.757949907808,20211023.2579499,1170.881352198845,3.20569843175591,.00312534,1.2162885678,3.2939E-8,9.1281E-9,6.9534E-8,4.1235E-6,.00010929,.00010919,2.8846E-6,1.5635E-8,1.9364E-9,1.2329E-5,7.3741E-6,APO,.47477
a0002340,2002340,"  2340 Hathor (1976 UA)",2340,Hathor,,Y,Y,20.2,0.3,,,"JPL 60",2453228.5,53228,20040811.0000000,J2000,.4498841655895494,.8438292455376517,.4642038295088863,5.854591233229053,211.5421370750162,39.92629416655726,42.10443294792183,1.223454661566417,1.271517126434761,2453195.386460219392,20040708.8864602,283.1263476642372,0.775157693810369,.00687373,2.6750495041,1.0082E-7,5.9662E-10,8.4879E-8,8.1522E-6,2.6559E-5,2.8328E-5,1.2119E-5,8.6503E-10,1.3485E-9,9.5386E-6,3.0027E-7,ATE,.4662
a0003122,2003122,"  3122 Florence (1981 ET3)",3122,Florence,,Y,Y,14.0,4.9,0.231,,559,2459000.5,59000,20200531.0000000,J2000,.4229445910453244,1.768974947335498,1.020796561665261,22.14249624858464,336.0638555801969,27.84781486656305,50.43779606820457,2.517153333005735,.4189107934728757,2458880.097764359179,20200131.5977644,859.3715072736836,2.35283095762815,.0453329,17.642204693,6.5386E-9,4.1587E-9,1.24E-8,1.8572E-6,1.2425E-6,4.7255E-6,1.4199E-6,5.9176E-9,1.4772E-9,3.2247E-6,3.0305E-6,AMO,.28997
