id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000853,2000853,"   853 Nansenia (1916 S28)",853,Nansenia,,N,N,11.6,27.593,0.051,0.117,"JPL 39",2459000.5,59000,20200531.0000000,J2000,.1053901867072713,2.312619911940489,2.068892467638127,9.21412853059752,182.8397538950896,59.71995697138095,189.4863033882043,2.55634735624285,.2802513303866543,2459608.931354729139,20220129.4313547,1284.561252584667,3.51693703650833,1.07478,418.2721326,3.4926E-8,5.9287E-9,8.0916E-8,4.2376E-6,2.0769E-5,2.7868E-5,1.8669E-5,6.5535E-9,1.0777E-9,6.7014E-5,4.9397E-6,MBA,.44212
a0000854,2000854,"   854 Frostia (1916 S29)",854,Frostia,,N,N,12.0,7.839,0.415,0.204,"JPL 74",2459000.5,59000,20200531.0000000,J2000,.1737437297372121,2.368829825768521,1.957260496726748,6.086313282783925,190.5834555966645,84.21195933332436,147.2487922080156,2.780399154810295,.2703356243433915,2458455.811180072316,20181203.3111801,1331.677986852051,3.64593562450938,.952619,370.73073623,2.7702E-8,5.985E-9,6.4643E-8,3.9878E-6,2.8211E-5,3.051E-5,1.2317E-5,7.0248E-9,1.0245E-9,4.4943E-5,5.0468E-6,MBA,.41271
a0000855,2000855,"   855 Newcombia (1916 ZP)",855,Newcombia,,N,N,11.7,12.392,0.219,0.088,"JPL 40",2459000.5,59000,20200531.0000000,J2000,.1786666304338046,2.362383701549285,1.940304565801735,10.88087333610875,17.1177516660292,233.9835249234259,211.618572797947,2.784462837296835,.2714428567692276,2459547.139646252332,20211128.6396463,1326.245988878834,3.63106362458271,.949554,369.53793018,3.5692E-8,7.1542E-9,8.3732E-8,4.1594E-6,1.8626E-5,2.1838E-5,1.363E-5,8.4324E-9,1.233E-9,5.1191E-5,6.0245E-6,MBA,.42625
a0000856,2000856,"   856 Backlunda (1916 S30)",856,Backlunda,,N,N,10.7,45.449,0.045,0.132,74,2459000.5,59000,20200531.0000000,J2000,.1194133869098955,2.434759833800198,2.144016915733943,14.32771225639476,125.5393073005905,72.99859184012021,137.7178948473629,2.725502751866454,.2594298120461395,2458469.651622316753,20181217.1516223,1387.658562293427,3.79920208704566,1.19375,464.5716875,3.442E-8,7.4565E-9,8.2773E-8,4.2916E-6,1.5382E-5,2.4114E-5,1.8032E-5,8.3469E-9,1.1918E-9,6.9265E-5,6.3746E-6,MBA,.4123
a0000857,2000857,"   857 Glasenappia (1916 S33)",857,Glasenappia,,N,N,11.6,14.497,0.271,0.151,"JPL 73",2459000.5,59000,20200531.0000000,J2000,.08882777490269288,2.190414338315319,1.995844706527815,5.300801127059459,82.91545600373608,239.0021826350372,298.4959418620552,2.384983970102823,.3040287566345993,2459202.796844610210,20201219.2968446,1184.09851747238,3.24188505810371,.988838,384.82608446,3.9439E-8,4.9248E-9,8.7266E-8,3.3028E-6,4.2375E-5,4.5708E-5,1.8423E-5,5.3623E-9,1.0253E-9,6.0783E-5,3.9934E-6,MBA,.43036
a0000858,2000858,"   858 El Djezair (1916 a)",858,"El Djezair",,N,N,10.3,22.519,0.375,0.065,"JPL 32",2459000.5,59000,20200531.0000000,J2000,.1034370956327137,2.81286256630384,2.521908232031389,8.869506811913194,67.18388009124277,179.1291340753162,34.9350514417342,3.103816900576291,.2089206188836142,2458833.283132519841,20191215.7831325,1723.142511848241,4.71770708240449,1.50836,587.0084612,3.8605E-8,1.1584E-8,1.1058E-7,4.4094E-6,3.1145E-5,3.9316E-5,2.5382E-5,1.2782E-8,1.2905E-9,.00012131,1.0644E-5,MBA,.44567
a0000859,2000859,"   859 Bouzareah (1916 c)",859,Bouzareah,,N,N,9.7,65.417,0.031,0.487,76,2459000.5,59000,20200531.0000000,J2000,.1092210720760928,3.223640542280571,2.87155106626473,13.50386931465798,35.68327594172087,21.73971193740928,315.9044127369793,3.575730018296412,.1702880452872667,2459259.447051677256,20210213.9470517,2114.065020786982,5.78799458121008,1.88705,734.3832485,4.1482E-8,1.5391E-8,1.3583E-7,4.768E-6,1.5525E-5,2.3352E-5,1.8072E-5,1.7072E-8,1.2195E-9,.00010621,1.514E-5,OMB,.43016
a0000860,2000860,"   860 Ursina (1917 BD)",860,Ursina,,N,N,9.9,34.561,0.116,0.356,"JPL 42",2459000.5,59000,20200531.0000000,J2000,.1067654652994842,2.796832909751538,2.498227742777004,13.29891216478155,309.3504657436775,21.72174559732398,182.5879942917058,3.095438076726071,.2107192889025381,2459842.435290462900,20220919.9352905,1708.43401130927,4.67743740262634,1.49086,580.1979862,3.8689E-8,1.004E-8,1.0818E-7,3.2398E-6,1.7338E-5,2.7464E-5,2.4477E-5,1.1112E-8,1.1347E-9,.00011841,9.1994E-6,MBA,.39455
a0000861,2000861,"   861 Aida (1917 BE)",861,Aida,,N,N,9.7,66.85,0.0571,3.7,"JPL 48",2459000.5,59000,20200531.0000000,J2000,.1012170771798063,3.140141726482596,2.822305758997677,8.058597831740531,114.9465405192234,192.3202213270263,14.2411475513658,3.457977693967515,.1771251369698838,2458920.098382279376,20200311.5983823,2032.461378201842,5.56457598412551,1.80792,703.5882264,3.2017E-8,1.4044E-8,1.0405E-7,3.6584E-6,2.6749E-5,3.2854E-5,1.9677E-5,1.5466E-8,1.1883E-9,.00011096,1.3635E-5,MBA,.42088
a0000862,2000862,"   862 Franzia (1917 BF)",862,Franzia,,N,N,9.8,27.033,0.291,0.847,"JPL 35",2459000.5,59000,20200531.0000000,J2000,.08226916263803194,2.803841240177389,2.573171569178014,13.88716764995776,300.0100977120478,120.9656134212551,53.87149463353757,3.034510911176763,.2099297289385018,2458743.883203008284,20190917.3832030,1714.859547622532,4.69502956227935,1.61707,629.3151319,3.7111E-8,1.0325E-8,1.0409E-7,4.7383E-6,1.7641E-5,3.5099E-5,2.9202E-5,1.1175E-8,1.1596E-9,.00013921,9.4724E-6,MBA,.39894
a0000863,2000863,"   863 Benkoela (1917 BH)",863,Benkoela,,N,N,9.1,38.724,0.290,0.161,"JPL 36",2459000.5,59000,20200531.0000000,J2000,.02893820927997449,3.202055295421092,3.109393549156146,25.41689146938677,116.9244300442782,97.3930013523857,292.0625387484019,3.294717041686039,.1720128267592492,2459395.455786330306,20210629.9557863,2092.867181956491,5.72995806148252,2.15688,839.3929896,3.8894E-8,1.5825E-8,1.2717E-7,4.6665E-6,1.0024E-5,8.3838E-5,8.469E-5,1.6283E-8,1.2752E-9,.00049314,1.5515E-5,OMB,.39434
a0000864,2000864,"   864 Aase (A921 SB)",864,Aase,,N,N,12.8,7.249,0.239,0.351,"JPL 35",2459000.5,59000,20200531.0000000,J2000,.1900844185408188,2.208233274624124,1.788482536614709,5.449627676198771,163.0997222045364,193.9213312635101,28.26913737582585,2.627984012633539,.3003562332988886,2458906.381302793890,20200226.8813028,1198.576756826482,3.28152431711562,.784606,305.34511702,3.6044E-8,5.3758E-9,8.1322E-8,3.7113E-6,3.3426E-5,3.4432E-5,9.8358E-6,6.3976E-9,1.0968E-9,3.258E-5,4.3768E-6,MBA,.46624
a0000865,2000865,"   865 Zubaida (1917 BO)",865,Zubaida,,N,N,11.7,17.77,0.0972,1.1,"JPL 35",2459000.5,59000,20200531.0000000,J2000,.1941118336098688,2.418054597627455,1.948681585913216,13.34393923276088,176.9159847234321,302.0386600260879,191.8123756007465,2.887427609341694,.2621228733274574,2459642.136581593339,20220303.6365816,1373.401700622553,3.76016892709802,.997375,388.14842875,2.9533E-8,6.921E-9,7.073E-8,4.2431E-6,1.7505E-5,2.1621E-5,1.3649E-5,8.2644E-9,1.1254E-9,5.2751E-5,5.8965E-6,MBA,.44711
a0000866,2000866,"   866 Fatme (1917 BQ)",866,Fatme,,N,N,9.5,78.061,0.046,0.360,"JPL 57",2459000.5,59000,20200531.0000000,J2000,.05226736239651267,3.123848616292458,2.960573288592855,8.661590796628742,91.0601856610855,263.2010406282545,34.54366664224468,3.28712394399206,.178512694194441,2458806.991819541871,20191119.4918195,2016.663305792013,5.52132321914309,1.97137,767.1980629,3.4037E-8,1.3384E-8,1.0728E-7,3.6319E-6,2.5887E-5,4.4151E-5,3.5684E-5,1.4083E-8,1.1472E-9,.00020001,1.296E-5,MBA,.44263
a0000867,2000867,"   867 Kovacia (1917 BS)",867,Kovacia,,N,N,11.5,24.113,0.092,0.439,"JPL 30",2459000.5,59000,20200531.0000000,J2000,.127567468639298,3.0662674159562,2.675111443531506,5.973829942944356,46.8199059498464,70.13533118914489,113.7669468904848,3.457423388380894,.1835646421390313,2458380.734964834252,20180919.2349648,1961.16199615031,5.36936891485369,1.69887,661.1492379,3.1708E-8,1.1693E-8,9.6583E-8,4.2729E-6,3.7632E-5,4.2011E-5,1.8025E-5,1.3185E-8,1.05E-9,9.7402E-5,1.1218E-5,MBA,.43252
a0000868,2000868,"   868 Lova (1917 BU)",868,Lova,,N,N,10.3,50.692,0.056,0.191,"JPL 53",2459000.5,59000,20200531.0000000,J2000,.1483087536709224,2.704108526313552,2.303065560985075,5.838626768400763,115.7789500304066,286.7413912278541,224.4826162534919,3.10515149164203,.2216500826602057,2459611.902360513707,20220201.4023605,1624.181663635504,4.44676704622999,1.32014,513.7588838,3.5191E-8,8.6777E-9,9.5263E-8,3.6731E-6,3.769E-5,3.9761E-5,1.4362E-5,9.9647E-9,1.0669E-9,6.6227E-5,7.8182E-6,MBA,.44166
a0000869,2000869,"   869 Mellena (1917 BV)",869,Mellena,,N,N,11.9,21.193,0.065,0.090,"JPL 38",2459000.5,59000,20200531.0000000,J2000,.2201975314871234,2.688675806490014,2.096636030931762,7.838535663730299,154.8793566546683,107.0905022433873,90.375929113363,3.280715582048265,.2235611911847401,2458596.244106414781,20190422.7441064,1610.297378056612,4.40875394402905,1.09745,427.0946165,3.3108E-8,8.5613E-9,8.9358E-8,4.6915E-6,2.7687E-5,2.9578E-5,1.0378E-5,1.0447E-8,1.0678E-9,4.6012E-5,7.6913E-6,MBA,.44036
